1	PPPP:PPPP:PSSS:c--S:ScS-	PPPP:PSSS:c--S:ScS-
1	PPPP:PPPP:cScc:P--S:ScS-	PPPP:cScc:P--S:ScS-
1	PPPP:PPPP:PScc:P--S:ScS-	PPPP:PScc:P--S:ScS-
1	PPPP:PPPP:cSPc:P--S:ScS-	PPPP:cSPc:P--S:ScS-
1	PPPP:PPPP:PSPc:P--S:ScS-	PPPP:PSPc:P--S:ScS-
1	PPPP:PPPP:cSSc:P--S:ScS-	PPPP:cSSc:P--S:ScS-
1	PPPP:PPPP:PSSc:P--S:ScS-	PPPP:PSSc:P--S:ScS-
1	PPPP:PPPP:SSSc:P--S:ScS-	PPPP:SSSc:P--S:ScS-
1	PPPP:PPPP:cScc:S--S:ScS-	PPPP:cScc:S--S:ScS-
1	PPPP:PPPP:PScc:S--S:ScS-	PPPP:PScc:S--S:ScS-
1	PPPP:PPPP:cSPc:S--S:ScS-	PPPP:cSPc:S--S:ScS-
1	PPPP:PPPP:PSPc:S--S:ScS-	PPPP:PSPc:S--S:ScS-
1	PPPP:PPPP:SSSc:S--S:ScS-	PPPP:SSSc:S--S:ScS-
1	PPPP:PPPP:cccP:-c--:ScS-	PPPP:cccP:-c--:ScS-
1	PPPP:PPPP:cPcP:-c--:ScS-	PPPP:cPcP:-c--:ScS-
1	PPPP:PPPP:cScP:-c--:ScS-	PPPP:cScP:-c--:ScS-
1	PPPP:PPPP:ccPP:-c--:ScS-	PPPP:ccPP:-c--:ScS-
1	PPPP:PPPP:cSPP:-c--:ScS-	PPPP:cSPP:-c--:ScS-
1	PPPP:PPPP:ccSP:-c--:ScS-	PPPP:ccSP:-c--:ScS-
1	PPPP:PPPP:cSSP:-c--:ScS-	PPPP:cSSP:-c--:ScS-
1	PPPP:PPPP:cccS:-c--:ScS-	PPPP:cccS:-c--:ScS-
1	PPPP:PPPP:cPcS:-c--:ScS-	PPPP:cPcS:-c--:ScS-
1	PPPP:PPPP:cScS:-c--:ScS-	PPPP:cScS:-c--:ScS-
1	PPPP:PPPP:ccPS:-c--:ScS-	PPPP:ccPS:-c--:ScS-
1	PPPP:PPPP:cPPS:-c--:ScS-	PPPP:cPPS:-c--:ScS-
1	PPPP:PPPP:cSPS:-c--:ScS-	PPPP:cSPS:-c--:ScS-
1	PPPP:PPPP:ccSS:-c--:ScS-	PPPP:ccSS:-c--:ScS-
1	PPPP:PPPP:cPSS:-c--:ScS-	PPPP:cPSS:-c--:ScS-
1	PPPP:PPPP:cSSS:-c--:ScS-	PPPP:cSSS:-c--:ScS-
1	PPPP:PPPP:cPcP:-P--:ScS-	PPPP:cPcP:-P--:ScS-
1	PPPP:PPPP:cPPP:-P--:ScS-	PPPP:cPPP:-P--:ScS-
1	PPPP:PPPP:cPSP:-P--:ScS-	PPPP:cPSP:-P--:ScS-
1	PPPP:PPPP:cPcS:-P--:ScS-	PPPP:cPcS:-P--:ScS-
1	PPPP:PPPP:cccP:-S--:ScS-	PPPP:cccP:-S--:ScS-
1	PPPP:PPPP:cPcP:-S--:ScS-	PPPP:cPcP:-S--:ScS-
1	PPPP:PPPP:cSPP:-S--:ScS-	PPPP:cSPP:-S--:ScS-
1	PPPP:PPPP:ccSP:-S--:ScS-	PPPP:ccSP:-S--:ScS-
1	PPPP:PPPP:cSSP:-S--:ScS-	PPPP:cSSP:-S--:ScS-
1	PPPP:PPPP:cccS:-S--:ScS-	PPPP:cccS:-S--:ScS-
1	PPPP:PPPP:cPcS:-S--:ScS-	PPPP:cPcS:-S--:ScS-
1	PPPP:PPPP:cScS:-S--:ScS-	PPPP:cScS:-S--:ScS-
1	PPPP:PPPP:ccPS:-S--:ScS-	PPPP:ccPS:-S--:ScS-
1	PPPP:PPPP:cPPS:-S--:ScS-	PPPP:cPPS:-S--:ScS-
1	PPPP:PPPP:cSPS:-S--:ScS-	PPPP:cSPS:-S--:ScS-
1	PPPP:PPPP:ccSS:-S--:ScS-	PPPP:ccSS:-S--:ScS-
